customer_id,age,annual_income,employment_length_years,credit_history_years,credit_score,revolving_limit,credit_utilization,debt_to_income,delinquencies_2y,hard_inquiries_6m,open_accounts,loan_amount,term_months,apr,monthly_payment,purpose,region,defaulted
C100072,45,50400.47,8.7,7.1,578,20467.05,0.644,0.601,4,3,8,8200,36,0.201,305.07,credit_card,Midwest,0
C100073,28,21952.08,3.1,1.7,457,4467.37,0.859,0.378,1,3,1,6900,60,0.26,206.75,credit_card,South,1
C100074,58,116462.26,10.0,14.5,634,47541.37,0.528,0.02,3,0,8,16800,36,0.114,553.58,home_improvement,Northeast,0
C100075,46,56017.78,2.3,1.2,541,20069.91,0.624,0.331,3,0,5,13000,36,0.186,473.97,home_improvement,West,0
C100076,38,97629.96,5.5,4.2,597,33181.39,0.731,0.228,0,3,11,16800,36,0.146,579.22,small_business,Northeast,0
C100077,33,237997.9,1.1,1.5,575,48852.12,0.511,0.02,2,2,8,40000,36,0.139,1365.98,medical,South,0
C100078,51,53522.56,6.4,9.1,570,9271.17,0.604,0.616,5,3,7,13700,60,0.211,371.25,other,Midwest,0
C100079,57,51560.36,8.1,9.4,602,14100.32,0.338,0.877,4,1,3,12900,36,0.187,470.9,debt_consolidation,West,0
C100080,71,69383.74,2.8,10.0,658,20968.02,0.515,0.199,2,0,7,21100,60,0.113,461.73,other,Northeast,0
C100081,44,111874.01,5.1,10.9,623,21603.69,0.676,0.02,2,1,6,34200,36,0.124,1142.87,credit_card,South,0
C100082,29,47593.45,2.5,5.3,477,8262.58,0.354,0.955,4,2,8,11100,36,0.257,445.55,major_purchase,Midwest,1
C100083,65,45941.02,9.7,15.1,622,14609.03,0.465,0.629,1,0,11,12300,36,0.169,438.03,debt_consolidation,West,0
C100084,55,116261.43,7.5,11.9,695,28901.12,0.528,0.02,1,3,8,24100,36,0.084,759.33,car,West,0
C100085,58,80049.0,3.7,1.7,573,20286.04,0.369,0.403,2,1,4,3700,36,0.153,128.77,major_purchase,Northeast,0
C100086,26,21110.84,2.4,0.5,474,4654.94,0.416,0.757,7,3,7,1000,60,0.216,27.4,other,West,1
C100087,37,33129.42,6.0,7.1,497,641.24,0.761,0.695,2,2,10,12100,36,0.246,478.35,small_business,Midwest,1
C100088,62,148423.1,11.9,21.6,619,14870.14,0.263,0.02,0,1,10,32500,36,0.089,1032.45,other,West,0
C100089,65,81080.93,9.4,6.8,548,10630.91,0.382,0.345,2,3,9,20800,36,0.166,737.23,debt_consolidation,Northeast,0
C100090,44,42741.89,3.6,4.9,458,3001.02,0.811,0.581,3,1,9,18000,36,0.263,728.53,credit_card,South,1
C100091,64,59184.63,0.3,21.9,603,19871.82,0.406,0.362,1,1,8,15800,36,0.139,539.08,debt_consolidation,South,0
C100092,66,65474.94,7.9,16.1,596,8003.32,0.237,0.041,3,1,7,15000,36,0.085,473.38,small_business,West,0
C100093,41,97420.89,0.7,4.1,563,17000.64,0.756,0.02,1,5,13,17200,36,0.145,592.45,debt_consolidation,West,0
C100094,69,30794.69,8.1,8.8,485,12134.28,0.421,0.296,2,1,9,4900,36,0.181,177.38,car,West,0
C100095,36,40930.08,5.2,4.8,527,500.0,0.625,0.624,4,5,9,9000,36,0.213,340.63,other,South,1
C100096,33,75528.72,0.1,3.0,543,21026.87,0.26,0.056,1,0,2,15300,60,0.117,337.64,medical,South,0
C100097,57,61527.13,3.9,8.5,556,12900.5,0.643,0.395,1,4,12,10700,36,0.181,387.37,debt_consolidation,Midwest,0
C100098,55,89024.34,0.9,9.5,600,27436.89,0.457,0.295,2,0,6,29000,36,0.126,971.67,debt_consolidation,South,0
C100099,28,33054.52,2.8,0.5,477,6476.21,0.991,0.375,4,3,6,12200,36,0.245,481.75,debt_consolidation,South,1
C100100,65,79107.53,3.5,15.0,624,32299.02,0.415,0.358,0,2,6,14900,36,0.124,497.99,other,West,0
C100101,31,118481.67,2.1,1.4,584,33644.45,0.288,0.02,2,2,7,25200,36,0.098,810.2,debt_consolidation,West,0
C100102,64,84956.34,5.7,9.5,669,18306.36,0.687,0.045,1,4,8,12900,36,0.113,424.12,credit_card,South,0
C100103,21,70168.45,2.4,2.3,651,25730.65,0.275,0.123,1,1,14,10000,36,0.091,318.27,other,South,0
C100104,64,61660.98,10.2,11.8,619,8756.82,0.41,0.318,2,1,13,17100,60,0.121,381.53,major_purchase,West,0
C100105,63,41067.59,5.1,5.0,518,7733.78,0.752,0.66,0,1,8,10600,60,0.243,306.76,major_purchase,South,0
C100106,63,62476.35,7.0,9.0,544,12288.24,0.712,0.234,1,3,5,7100,36,0.169,252.89,car,South,0
C100107,56,129959.84,3.0,4.5,607,38963.05,0.721,0.02,4,2,6,18000,60,0.134,412.8,home_improvement,West,0
C100108,46,60881.03,5.9,5.6,561,9904.86,0.56,0.08,2,1,12,10100,36,0.139,344.56,debt_consolidation,Northeast,0
C100109,59,39844.93,6.1,10.2,560,13801.26,0.417,0.529,3,0,4,8900,36,0.166,315.66,small_business,Midwest,0
C100110,35,49583.17,4.6,5.3,515,7386.57,0.904,0.379,5,4,5,10400,36,0.215,394.64,debt_consolidation,Northeast,1
C100111,63,72592.02,10.5,9.4,610,32335.58,0.466,0.66,2,1,9,5600,36,0.176,201.45,debt_consolidation,West,0
C100112,51,52929.17,5.5,7.5,576,18373.15,0.703,0.298,4,2,9,20900,36,0.181,757.03,debt_consolidation,South,1
C100113,45,84885.57,5.1,9.3,680,20179.65,0.248,0.446,1,1,7,6800,60,0.103,145.41,other,South,0
C100114,48,86656.44,3.3,10.7,676,11327.47,0.702,0.02,2,1,12,18300,60,0.104,392.52,major_purchase,South,0
C100115,51,105988.23,0.8,5.6,641,19547.39,0.216,0.133,1,1,7,18700,36,0.079,584.91,major_purchase,South,0
C100116,23,142215.71,4.9,1.7,604,16131.0,0.587,0.02,3,2,6,32100,36,0.13,1082.02,small_business,Northeast,0
C100117,28,112405.13,1.5,0.5,554,30444.26,0.423,0.02,1,1,7,16400,36,0.144,563.73,medical,West,0
C100118,34,38882.95,0.4,5.7,522,5204.7,0.518,0.506,4,0,6,5400,36,0.207,202.62,credit_card,West,0
C100119,27,39545.16,0.0,1.3,444,8623.35,0.671,0.836,8,2,13,7200,36,0.262,290.95,debt_consolidation,Midwest,1
C100120,44,62346.84,2.1,6.9,564,17027.2,0.86,0.196,5,2,10,5900,36,0.173,211.35,credit_card,South,1
C100121,57,50715.97,9.9,10.9,630,9553.63,0.436,0.292,0,1,13,18200,36,0.119,603.78,other,South,0
C100122,56,34754.45,2.6,17.2,545,13957.08,0.498,0.559,2,4,10,4300,60,0.207,115.54,debt_consolidation,Northeast,0
C100123,46,50981.19,9.0,11.1,578,10435.48,0.352,0.515,3,1,3,13700,36,0.166,485.62,medical,West,0
C100124,67,50069.16,11.1,16.3,591,12442.29,0.254,0.388,2,4,11,3700,60,0.149,87.86,debt_consolidation,Northeast,0
C100125,51,44919.46,5.1,7.5,528,15607.3,0.578,0.262,3,1,9,6300,36,0.161,221.95,debt_consolidation,South,0
C100126,25,54636.55,0.0,2.4,449,9089.24,0.508,0.778,1,0,5,4600,36,0.266,186.93,home_improvement,Midwest,0
C100127,62,124279.77,13.2,9.8,585,26399.1,0.183,0.02,0,0,8,13300,36,0.107,433.64,credit_card,South,0
C100128,52,72527.67,4.5,9.7,626,27012.48,0.817,0.637,0,1,9,8600,36,0.215,326.36,debt_consolidation,Midwest,0
C100129,55,250000.0,4.6,11.9,611,57682.32,0.41,0.02,1,1,9,17800,36,0.102,575.75,debt_consolidation,South,0
C100130,51,71390.64,8.0,5.7,573,22860.99,0.839,0.657,1,2,10,24100,36,0.215,913.58,medical,Northeast,1
C100131,50,55415.04,2.4,8.9,527,20481.54,0.542,0.396,4,0,6,3900,60,0.194,102.13,debt_consolidation,South,0
C100132,25,65147.92,0.0,0.5,512,11138.98,0.695,0.673,6,3,7,16600,36,0.244,654.49,major_purchase,West,1
C100133,51,74847.89,4.4,2.8,560,23853.17,0.338,0.64,2,2,4,15500,36,0.175,556.1,debt_consolidation,South,1
C100134,63,82580.78,7.6,6.9,628,26758.73,0.332,0.204,1,1,9,4700,36,0.114,154.82,major_purchase,West,0
C100135,37,203685.78,5.3,7.0,656,60000.0,0.186,0.02,0,0,10,24500,36,0.061,746.46,home_improvement,South,0
C100136,53,40831.79,6.9,1.5,451,5089.12,0.776,0.766,2,2,5,12400,36,0.272,507.26,debt_consolidation,South,1
C100137,22,104257.38,0.0,1.6,582,32328.05,0.457,0.02,1,1,7,14400,36,0.122,479.79,other,West,0
C100138,39,72868.04,3.8,2.4,506,11446.16,0.306,0.544,2,1,7,21900,60,0.186,563.75,other,South,0
C100139,44,27392.89,0.0,6.5,465,7371.03,0.642,0.613,5,2,8,3000,60,0.234,85.29,debt_consolidation,South,0
C100140,74,99312.52,11.6,20.9,676,37004.47,0.37,0.477,2,0,8,18100,36,0.119,600.05,medical,Northeast,0
C100141,32,130527.02,5.2,3.9,587,50514.21,0.894,0.02,1,3,7,34600,36,0.148,1195.37,debt_consolidation,Midwest,0
C100142,35,40566.4,3.2,3.5,533,774.21,0.284,0.326,0,0,9,5600,60,0.138,129.86,credit_card,South,1
C100143,43,64681.4,4.9,9.1,619,5303.99,0.341,0.392,1,1,10,12000,36,0.134,406.73,debt_consolidation,South,0
C100144,74,25164.71,10.3,8.1,476,7330.08,0.595,0.975,3,2,10,2900,36,0.256,116.18,credit_card,Northeast,0
C100145,67,32526.13,8.1,6.9,473,8032.0,1.0,0.334,1,6,5,11600,36,0.241,455.71,credit_card,West,1
C100146,22,115677.2,4.4,2.9,562,15083.94,0.263,0.076,2,0,8,16500,36,0.121,548.59,debt_consolidation,South,0
C100147,33,50292.61,0.0,6.1,486,7403.32,0.404,0.15,3,1,11,15300,36,0.158,536.04,credit_card,South,1
C100148,65,35323.4,8.2,11.2,472,8410.38,0.532,0.41,1,3,8,11700,60,0.235,333.42,home_improvement,Midwest,0
C100149,24,73743.32,1.7,5.6,613,27649.78,0.586,0.02,0,0,4,18400,36,0.115,606.89,major_purchase,West,0
C100150,67,48767.32,2.8,10.7,614,7290.07,0.542,0.243,1,0,7,10300,36,0.137,350.42,debt_consolidation,South,0
C100151,36,50170.91,6.8,1.0,467,10286.52,0.496,0.696,2,0,5,13800,36,0.23,534.48,debt_consolidation,Midwest,1
C100152,70,97613.58,7.7,5.0,593,21659.91,0.805,0.162,8,3,7,20600,36,0.148,711.89,home_improvement,West,0
C100153,36,34309.9,2.2,10.1,454,7784.19,0.738,0.438,3,2,10,8700,36,0.248,344.98,debt_consolidation,West,1
C100154,44,39505.36,4.3,0.8,435,9268.07,1.0,0.353,4,1,8,9600,36,0.281,397.59,other,South,0
C100155,56,70748.5,0.7,12.8,623,10096.92,0.335,0.269,1,2,4,18100,60,0.13,412.05,small_business,South,0
C100156,27,110781.82,1.4,5.3,578,22307.74,0.531,0.021,2,2,12,8900,36,0.128,298.89,credit_card,Midwest,0
C100157,51,128428.9,3.5,13.2,575,17055.81,0.222,0.248,1,3,10,5700,36,0.122,189.95,debt_consolidation,West,0
C100158,48,45087.42,5.4,6.0,581,8068.08,0.411,0.743,3,1,5,10300,60,0.188,266.05,credit_card,Midwest,1
C100159,63,108847.15,5.2,14.1,639,26804.82,0.669,0.252,3,0,6,30800,60,0.139,714.27,debt_consolidation,Northeast,0
C100160,74,42229.08,0.0,18.8,516,9575.93,0.813,0.475,4,2,8,4800,36,0.227,184.94,debt_consolidation,South,0
C100161,56,177470.15,1.4,8.1,628,39836.59,0.782,0.02,2,4,8,40000,60,0.119,886.92,credit_card,Northeast,0
C100162,43,34841.64,2.9,4.4,469,5971.07,0.587,0.553,2,2,5,10100,36,0.238,395.32,car,West,0
C100163,42,134969.74,4.0,2.3,596,23114.81,0.486,0.02,1,2,8,21100,36,0.12,700.5,car,South,0
C100164,43,45300.58,3.4,6.1,510,13082.88,0.788,0.473,4,1,3,19600,60,0.208,528.59,credit_card,South,0
C100165,64,196698.64,5.5,14.4,660,55755.85,0.324,0.02,2,1,6,22600,36,0.069,697.16,major_purchase,Northeast,0
C100166,38,89982.36,0.0,6.8,633,38227.39,0.312,0.02,1,0,3,17200,36,0.062,524.94,debt_consolidation,South,0
C100167,30,37172.83,0.0,7.6,458,4827.58,0.662,0.584,1,2,12,700,36,0.255,28.02,debt_consolidation,South,0
C100168,39,48771.99,0.0,7.2,516,9190.33,0.698,0.541,2,3,14,14200,36,0.204,530.67,debt_consolidation,West,0
C100169,22,99886.74,0.0,1.3,598,14529.75,0.441,0.171,3,2,7,5900,36,0.117,195.19,debt_consolidation,South,0
C100170,26,115971.18,0.0,0.5,551,11293.6,0.713,0.277,5,2,12,4800,36,0.172,171.57,major_purchase,West,0
C100171,25,62520.45,3.4,5.1,556,14680.72,0.495,0.535,2,1,12,9800,36,0.157,342.9,car,Northeast,0
C100172,62,66616.3,7.5,5.4,551,15395.3,0.131,0.373,0,2,9,11300,36,0.153,393.56,home_improvement,Northeast,0
C100173,60,98640.45,4.0,9.9,609,8689.96,0.358,0.245,1,0,7,25400,36,0.12,843.96,debt_consolidation,West,0
C100174,58,69886.77,6.9,10.3,587,17853.37,0.838,0.799,3,1,7,20800,60,0.214,567.28,home_improvement,Midwest,1
C100175,45,31911.28,3.9,10.1,456,5633.91,0.37,0.583,3,2,9,5300,60,0.221,146.73,medical,South,1
C100176,59,41564.71,7.7,3.7,508,3718.38,0.533,0.706,4,2,7,3200,36,0.245,126.32,other,West,1
C100177,29,73973.23,3.8,3.6,601,22155.08,0.968,0.415,2,3,8,9400,36,0.195,346.83,credit_card,Northeast,0
C100178,69,126836.97,1.1,11.8,632,33921.33,0.331,0.237,1,0,10,14900,36,0.097,478.92,debt_consolidation,South,0
C100179,48,158092.07,5.4,9.2,662,60000.0,0.507,0.02,2,0,7,40000,36,0.096,1284.07,debt_consolidation,South,0
C100180,71,99796.03,6.2,18.5,625,34262.87,0.354,0.02,0,0,8,31000,36,0.107,1010.65,car,South,0
C100181,29,76126.56,0.0,3.1,544,28554.53,0.461,0.02,3,2,10,9500,36,0.155,331.59,credit_card,Northeast,1
C100182,47,98124.29,4.3,10.7,641,21420.61,0.552,0.295,2,2,10,9000,36,0.118,298.15,debt_consolidation,Northeast,0
C100183,58,45045.55,6.8,11.3,567,11545.2,0.764,0.396,5,5,13,6900,60,0.176,173.64,debt_consolidation,South,0
C100184,47,59746.48,0.0,11.8,589,24148.47,0.461,0.02,0,0,7,12500,36,0.103,404.97,credit_card,Northeast,0
C100185,45,41310.44,4.3,10.1,558,8678.58,0.681,0.515,2,2,9,11300,36,0.213,427.26,home_improvement,Midwest,0
C100186,29,32706.66,0.0,3.1,411,2555.42,0.562,0.457,3,2,7,9500,60,0.251,279.16,major_purchase,South,1
C100187,41,78088.22,0.0,4.2,562,22529.87,0.521,0.03,1,0,10,6400,36,0.135,217.21,debt_consolidation,Northeast,0
C100188,33,71982.25,0.0,2.4,588,10887.58,0.398,0.764,3,1,8,4800,36,0.21,180.96,debt_consolidation,Midwest,0
C100189,37,94878.41,2.2,6.5,634,22467.88,0.349,0.02,1,1,8,11900,60,0.068,234.62,other,Northeast,0
C100190,57,87772.55,6.1,14.2,661,30909.07,0.58,0.377,2,2,10,7300,36,0.113,240.2,credit_card,Midwest,0
C100191,55,74279.99,7.4,5.3,612,28947.31,0.343,0.187,1,2,12,22500,36,0.09,715.52,car,Midwest,0
C100192,53,88281.13,0.6,11.2,611,15316.18,0.408,0.02,3,2,9,23300,36,0.109,761.32,debt_consolidation,Midwest,0
C100193,40,63491.85,1.9,7.5,518,12093.78,0.839,0.343,2,1,4,27500,36,0.206,1030.57,debt_consolidation,South,0
C100194,72,81571.3,10.2,8.7,598,16704.83,0.305,0.466,2,2,8,16700,36,0.162,589.0,debt_consolidation,Midwest,0
C100195,25,43597.85,0.0,1.7,510,5854.22,0.631,0.569,2,2,6,5500,36,0.216,208.78,other,South,1
C100196,39,79656.65,0.4,9.4,638,10702.45,0.254,0.176,1,0,7,14400,60,0.097,303.65,car,South,0
C100197,27,93879.96,1.2,7.2,586,31601.26,0.832,0.02,2,0,10,18900,36,0.158,663.0,car,Northeast,0
C100198,39,44973.01,2.6,6.3,488,12432.32,0.66,0.343,3,2,5,9200,36,0.208,345.61,debt_consolidation,West,0
C100199,72,66879.66,5.7,13.9,581,24699.77,0.344,0.026,1,0,15,19600,36,0.121,651.5,medical,Midwest,0
C100200,40,46127.34,0.1,1.7,477,12642.56,0.364,0.643,2,4,5,3000,36,0.221,114.71,debt_consolidation,West,1
C100201,70,48657.63,10.8,25.0,510,16170.3,0.514,0.372,2,1,10,10500,60,0.178,265.34,debt_consolidation,Northeast,1
C100202,47,35011.48,4.7,4.6,456,2302.49,0.877,0.481,4,3,4,4400,60,0.252,129.55,small_business,Northeast,0
C100203,58,130394.37,8.8,13.0,644,25682.68,0.167,0.497,1,2,9,8000,60,0.113,175.18,medical,South,0
C100204,45,116805.96,7.9,11.5,632,15761.54,0.628,0.02,2,1,9,30900,60,0.126,696.57,debt_consolidation,West,0
C100205,35,87354.62,0.1,10.8,610,29394.1,0.559,0.439,3,1,7,16500,60,0.15,392.92,debt_consolidation,Midwest,0
C100206,62,192307.38,7.5,6.1,585,60000.0,0.287,0.02,1,1,9,22500,36,0.114,741.29,car,South,0
C100207,73,58574.66,11.8,7.2,546,5985.56,0.405,0.67,0,3,4,8100,36,0.213,306.24,major_purchase,Midwest,0
C100208,35,250000.0,6.6,8.5,608,60000.0,0.708,0.02,0,2,10,14400,36,0.12,478.56,small_business,South,0
C100209,63,57354.2,7.1,10.9,609,13944.6,0.41,0.251,1,1,4,10900,60,0.152,260.18,home_improvement,Northeast,0
C100210,35,74794.44,2.9,6.3,585,10296.69,0.225,0.02,1,1,13,19800,36,0.089,629.11,credit_card,South,0
C100211,59,52227.51,7.2,13.6,691,19652.75,0.15,0.226,0,0,9,3600,60,0.079,72.86,debt_consolidation,West,0
C100212,63,79771.5,10.9,9.1,597,14828.67,0.823,0.02,5,1,6,29800,60,0.155,716.03,credit_card,South,0
C100213,45,102922.42,6.3,9.2,636,24416.72,0.896,0.02,0,1,8,40000,60,0.12,888.94,credit_card,South,0
C100214,60,61052.45,9.1,13.4,589,23714.39,0.411,0.215,5,2,17,14200,60,0.121,316.64,home_improvement,South,0
C100215,35,172704.7,0.0,7.5,607,30249.15,0.129,0.02,1,0,9,30800,60,0.082,627.12,home_improvement,South,0
